Date,WinWL,WinWLLstm
2021/06/01 05:25:06,0,1
2021/06/01 05:25:27,0,1
2021/06/01 05:25:37,1,0
2021/06/01 05:25:43,0,1
2021/06/01 05:26:17,1,0
2021/06/01 05:26:39,0,1
2021/06/01 05:26:51,1,0
2021/06/01 05:28:50,1,0
2021/06/01 05:30:44,1,0
2021/06/01 05:31:01,1,0
2021/06/01 05:31:17,0,1
2021/06/01 05:33:07,0,1
2021/06/01 05:33:42,1,0
2021/06/01 05:33:47,0,1
2021/06/01 05:33:56,1,0
2021/06/01 05:34:49,1,0
2021/06/01 05:35:53,1,0
2021/06/01 05:40:00,1,0
2021/06/01 05:40:13,0,1
2021/06/01 05:42:01,0,1
2021/06/01 05:42:46,1,0
2021/06/01 05:43:02,0,1
2021/06/01 05:43:16,1,0
2021/06/01 05:43:27,1,0
2021/06/01 05:45:26,1,0
2021/06/01 05:45:32,0,1
2021/06/01 05:45:46,0,1
2021/06/01 05:45:53,0,1
2021/06/01 05:46:12,1,0
2021/06/01 05:46:25,1,0
2021/06/01 05:46:33,1,0
2021/06/01 05:46:37,0,1
2021/06/01 05:46:57,1,0
2021/06/01 05:47:00,0,1
2021/06/01 05:47:42,0,1
2021/06/01 05:48:01,0,1
2021/06/01 05:48:16,1,0
2021/06/01 05:48:28,1,0
2021/06/01 05:49:11,1,0
2021/06/01 05:49:41,1,0
2021/06/01 05:52:55,1,0
2021/06/01 05:58:01,0,1
2021/06/01 05:58:14,1,0
2021/06/01 05:59:28,0,1
2021/06/01 05:59:41,1,0
2021/06/01 06:01:36,0,1
2021/06/01 06:01:49,0,1
2021/06/01 06:02:12,1,0
2021/06/01 06:02:47,1,0
2021/06/01 06:03:13,0,1
2021/06/01 06:03:30,0,1
2021/06/01 06:03:45,1,0
2021/06/01 06:04:06,1,0
2021/06/01 06:04:16,1,0
2021/06/01 06:04:52,1,0
2021/06/01 06:05:16,1,0
2021/06/01 06:05:30,0,1
2021/06/01 06:05:31,1,0
2021/06/01 06:07:30,1,0
2021/06/01 06:09:27,0,1
2021/06/01 06:09:44,0,1
2021/06/01 06:10:16,1,0
2021/06/01 06:10:26,0,1
2021/06/01 06:12:57,0,1
2021/06/01 06:13:16,0,1
2021/06/01 06:13:28,1,0
2021/06/01 06:13:40,0,1
2021/06/01 06:14:08,0,1
2021/06/01 06:14:17,0,1
2021/06/01 06:14:44,1,0
2021/06/01 06:14:59,0,1
2021/06/01 06:16:54,0,1
2021/06/01 06:17:04,0,1
2021/06/01 06:17:36,1,0
2021/06/01 06:19:43,0,1
2021/06/01 06:19:56,1,0
2021/06/01 06:21:50,1,0
2021/06/01 06:22:23,1,0
2021/06/01 06:24:08,0,1
2021/06/01 06:24:24,0,1
2021/06/01 06:24:40,0,1
2021/06/01 06:24:44,0,1
2021/06/01 06:25:09,1,0
2021/06/01 06:25:26,0,1
2021/06/01 06:25:41,1,0
2021/06/01 06:26:00,0,1
2021/06/01 06:26:09,0,1
2021/06/01 06:26:28,0,1
2021/06/01 06:26:38,1,0
2021/06/01 06:28:27,1,0
2021/06/01 06:28:46,1,0
2021/06/01 06:29:17,0,1
2021/06/01 06:32:57,0,1
2021/06/01 06:33:12,1,0
2021/06/01 06:35:00,1,0
2021/06/01 06:35:17,1,0
2021/06/01 06:37:04,0,1
2021/06/01 06:37:19,1,0
2021/06/01 06:37:35,1,0
2021/06/01 06:37:47,0,1
2021/06/01 06:37:48,1,0
2021/06/01 06:38:01,1,0
2021/06/01 06:38:24,0,1
2021/06/01 06:38:43,1,0
2021/06/01 06:39:01,0,1
2021/06/01 06:39:41,1,0
2021/06/01 06:39:46,1,0
2021/06/01 06:39:55,1,0
2021/06/01 06:40:06,1,0
2021/06/01 06:40:22,0,1
2021/06/01 06:40:39,0,1
2021/06/01 06:40:49,1,0
2021/06/01 06:41:49,0,1
2021/06/01 06:42:12,1,0
2021/06/01 06:42:29,1,0
2021/06/01 06:42:36,1,0
2021/06/01 06:43:21,0,1
2021/06/01 06:43:32,0,1
2021/06/01 06:44:00,0,1
2021/06/01 06:44:27,1,0
2021/06/01 06:44:57,0,1
2021/06/01 06:45:21,0,1
