Date,WinWL_80SD_12FOV,WinWL_40SD_6FOV
2021/06/09 08:25:44,1,0
2021/06/09 08:25:45,0,1
2021/06/09 08:25:49,0,1
2021/06/09 08:25:49,0,1
2021/06/09 08:25:51,1,0
2021/06/09 08:25:51,1,0
2021/06/09 08:25:51,1,0
2021/06/09 08:25:52,1,0
2021/06/09 08:25:53,1,0
2021/06/09 08:25:54,1,0
2021/06/09 08:25:54,1,0
2021/06/09 08:25:55,1,0
2021/06/09 08:25:56,1,0
2021/06/09 08:25:57,1,0
2021/06/09 08:25:59,0,1
2021/06/09 08:26:00,1,0
2021/06/09 08:26:00,1,0
2021/06/09 08:26:00,0,1
2021/06/09 08:26:01,1,0
2021/06/09 08:26:02,1,0
2021/06/09 08:26:02,0,1
2021/06/09 08:26:05,0,1
2021/06/09 08:26:05,0,1
2021/06/09 08:26:06,1,0
2021/06/09 08:26:06,1,0
2021/06/09 08:26:08,0,1
2021/06/09 08:26:09,1,0
2021/06/09 08:26:09,1,0
2021/06/09 08:26:09,1,0
2021/06/09 08:26:10,1,0
2021/06/09 08:26:11,1,0
2021/06/09 08:26:11,1,0
2021/06/09 08:26:12,1,0
2021/06/09 08:26:13,1,0
2021/06/09 08:26:13,0,1
2021/06/09 08:26:14,0,1
2021/06/09 08:26:17,1,0
2021/06/09 08:26:17,1,0
2021/06/09 08:26:17,1,0
2021/06/09 08:26:18,0,1
2021/06/09 08:26:18,0,1
2021/06/09 08:26:18,1,0
2021/06/09 08:26:19,0,1
2021/06/09 08:26:19,1,0
2021/06/09 08:26:20,1,0
2021/06/09 08:26:21,1,0
2021/06/09 08:26:22,1,0
2021/06/09 08:26:25,0,1
2021/06/09 08:26:25,0,1
2021/06/09 08:26:26,1,0
2021/06/09 08:26:26,1,0
2021/06/09 08:26:26,0,1
2021/06/09 08:26:27,1,0
2021/06/09 08:26:27,0,1
2021/06/09 08:26:27,1,0
2021/06/09 08:26:28,1,0
2021/06/09 08:26:28,0,1
2021/06/09 08:26:29,0,1
2021/06/09 08:26:29,0,1
2021/06/09 08:26:30,0,1
2021/06/09 08:26:33,1,0
2021/06/09 08:26:33,1,0
2021/06/09 08:26:34,1,0
2021/06/09 08:26:35,1,0
