Date,WinRobotSumoWL80SD12FOV,WinRobotSumoWL200SD30FOV
2021/06/13 08:53:48,1,0
2021/06/13 08:53:48,1,0
2021/06/13 08:53:48,1,0
2021/06/13 08:53:49,1,0
2021/06/13 08:53:49,1,0
2021/06/13 08:53:50,0,1
2021/06/13 08:53:50,1,0
2021/06/13 08:53:51,1,0
2021/06/13 08:53:51,0,1
2021/06/13 08:53:52,1,0
2021/06/13 08:53:53,1,0
2021/06/13 08:53:54,1,0
2021/06/13 08:53:54,0,1
2021/06/13 08:53:55,1,0
2021/06/13 08:53:56,1,0
2021/06/13 08:53:57,0,1
2021/06/13 08:53:58,1,0
2021/06/13 08:53:59,1,0
2021/06/13 08:54:01,1,0
2021/06/13 08:54:01,1,0
2021/06/13 08:54:02,0,1
2021/06/13 08:54:05,0,1
2021/06/13 08:54:08,0,1
2021/06/13 08:54:09,1,0
2021/06/13 08:54:10,1,0
2021/06/13 08:54:13,1,0
2021/06/13 08:54:15,0,1
2021/06/13 08:54:16,1,0
2021/06/13 08:54:16,0,1
2021/06/13 08:54:19,1,0
2021/06/13 08:54:22,1,0
2021/06/13 08:54:23,1,0
2021/06/13 08:54:26,1,0
2021/06/13 08:54:27,0,1
2021/06/13 08:54:29,1,0
2021/06/13 08:54:30,1,0
2021/06/13 08:54:30,0,1
2021/06/13 08:54:31,1,0
2021/06/13 08:54:33,1,0
2021/06/13 08:54:35,1,0
2021/06/13 08:54:36,1,0
2021/06/13 08:54:45,0,1
2021/06/13 08:54:46,0,1
2021/06/13 08:54:48,0,1
2021/06/13 08:54:49,1,0
2021/06/13 08:54:51,1,0
2021/06/13 08:54:56,1,0
2021/06/13 08:54:59,0,1
2021/06/13 08:55:00,1,0
2021/06/13 08:55:01,1,0
2021/06/13 08:55:03,1,0
2021/06/13 08:55:04,1,0
2021/06/13 08:55:06,1,0
2021/06/13 08:55:08,1,0
2021/06/13 08:55:10,1,0
2021/06/13 08:55:10,0,1
2021/06/13 08:55:11,0,1
2021/06/13 08:55:14,0,1
2021/06/13 08:55:14,0,1
2021/06/13 08:55:15,0,1
2021/06/13 08:55:16,1,0
2021/06/13 08:55:17,0,1
2021/06/13 08:55:17,1,0
2021/06/13 08:55:18,1,0
2021/06/13 08:55:22,1,0
2021/06/13 08:55:25,1,0
2021/06/13 08:55:30,0,1
2021/06/13 08:55:30,0,1
2021/06/13 08:55:31,0,1
2021/06/13 08:55:33,1,0
2021/06/13 08:55:33,0,1
2021/06/13 08:55:34,1,0
2021/06/13 08:55:36,1,0
2021/06/13 08:55:36,0,1
2021/06/13 08:55:37,1,0
2021/06/13 08:55:38,1,0
2021/06/13 08:55:38,1,0
2021/06/13 08:55:38,1,0
2021/06/13 08:55:39,1,0
2021/06/13 08:55:41,1,0
2021/06/13 08:55:41,0,1
2021/06/13 08:55:43,1,0
2021/06/13 08:55:46,1,0
2021/06/13 08:55:47,1,0
2021/06/13 08:55:50,0,1
2021/06/13 08:55:50,1,0
2021/06/13 08:55:50,1,0
2021/06/13 08:55:51,0,1
2021/06/13 08:55:53,1,0
2021/06/13 08:55:53,1,0
2021/06/13 08:55:56,0,1
2021/06/13 08:55:58,1,0
2021/06/13 08:55:59,0,1
2021/06/13 08:56:00,0,1
2021/06/13 08:56:02,1,0
2021/06/13 08:56:04,0,1
2021/06/13 08:56:04,0,1
2021/06/13 08:56:09,0,1
2021/06/13 08:56:19,0,1
2021/06/13 08:56:20,1,0
2021/06/13 08:56:24,0,1
2021/06/13 08:56:30,0,1
2021/06/13 08:56:32,1,0
2021/06/13 08:56:32,1,0
2021/06/13 08:56:34,1,0
