Date,WinWL_80SD_12FOV,WinWL_40SD_6FOV
2021/06/09 11:57:32,0,1
2021/06/09 11:57:34,0,1
2021/06/09 11:57:41,0,1
2021/06/09 11:59:43,0,1
2021/06/09 12:01:46,1,0
2021/06/09 12:01:54,1,0
2021/06/09 12:02:19,1,0
2021/06/09 12:02:39,0,1
2021/06/09 12:02:52,1,0
2021/06/09 12:03:01,1,0
2021/06/09 12:03:13,1,0
2021/06/09 12:03:33,0,1
2021/06/09 12:03:45,1,0
2021/06/09 12:06:04,1,0
2021/06/09 12:07:57,1,0
2021/06/09 12:08:18,0,1
2021/06/09 12:09:21,1,0
2021/06/09 12:09:38,0,1
2021/06/09 12:10:24,1,0
2021/06/09 12:15:29,0,1
2021/06/09 12:15:38,0,1
2021/06/09 12:15:48,0,1
2021/06/09 12:15:54,0,1
2021/06/09 12:15:59,0,1
2021/06/09 12:17:49,1,0
2021/06/09 12:19:11,1,0
2021/06/09 12:19:20,1,0
2021/06/09 12:21:13,1,0
2021/06/09 12:21:49,1,0
2021/06/09 12:22:03,1,0
2021/06/09 12:23:58,1,0
2021/06/09 12:24:06,1,0
2021/06/09 12:24:28,1,0
2021/06/09 12:24:47,0,1
2021/06/09 12:27:01,1,0
2021/06/09 12:27:59,1,0
2021/06/09 12:28:29,1,0
2021/06/09 12:28:42,1,0
2021/06/09 12:28:51,1,0
2021/06/09 12:30:34,0,1
2021/06/09 12:32:20,1,0
2021/06/09 12:32:49,1,0
2021/06/09 12:34:52,0,1
2021/06/09 12:35:05,1,0
2021/06/09 12:35:22,1,0
2021/06/09 12:35:28,0,1
2021/06/09 12:36:25,0,1
2021/06/09 12:38:09,1,0
2021/06/09 12:38:15,1,0
2021/06/09 12:38:25,1,0
2021/06/09 12:38:59,1,0
2021/06/09 12:40:43,1,0
2021/06/09 12:43:53,1,0
2021/06/09 12:44:07,0,1
2021/06/09 12:44:12,0,1
2021/06/09 12:46:08,0,1
2021/06/09 12:46:58,1,0
2021/06/09 12:47:13,1,0
2021/06/09 12:47:31,1,0
2021/06/09 12:47:41,0,1
2021/06/09 12:48:08,0,1
2021/06/09 12:48:25,0,1
2021/06/09 12:48:44,1,0
2021/06/09 12:50:29,0,1
2021/06/09 12:52:27,1,0
2021/06/09 12:52:33,1,0
2021/06/09 12:52:48,1,0
2021/06/09 12:52:59,1,0
2021/06/09 12:56:54,1,0
2021/06/09 12:58:40,1,0
2021/06/09 12:58:54,1,0
2021/06/09 01:00:45,1,0
2021/06/09 01:01:21,1,0
2021/06/09 01:02:25,1,0
2021/06/09 01:02:38,1,0
2021/06/09 01:03:02,1,0
2021/06/09 01:03:08,1,0
2021/06/09 01:03:13,1,0
2021/06/09 01:03:27,1,0
2021/06/09 01:03:35,1,0
2021/06/09 01:04:01,1,0
2021/06/09 01:05:15,1,0
2021/06/09 01:07:07,1,0
2021/06/09 01:07:43,1,0
2021/06/09 01:11:21,1,0
2021/06/09 01:15:18,1,0
2021/06/09 01:15:30,1,0
2021/06/09 01:15:55,1,0
2021/06/09 01:16:42,0,1
2021/06/09 01:17:03,0,1
2021/06/09 01:17:31,1,0
2021/06/09 01:17:50,1,0
2021/06/09 01:19:05,1,0
2021/06/09 01:19:10,1,0
2021/06/09 01:19:16,1,0
2021/06/09 01:21:39,1,0
2021/06/09 01:22:01,1,0
