Date,WinCL,WinWL
2021/05/25 10:07:02,1,0
2021/05/25 10:07:12,0,1
2021/05/25 10:07:23,1,0
2021/05/25 10:07:34,0,1
2021/05/25 10:07:46,0,1
2021/05/25 10:07:54,1,0
2021/05/25 10:08:15,0,1
2021/05/25 10:08:21,1,0
2021/05/25 10:08:33,0,1
2021/05/25 10:09:02,0,1
2021/05/25 10:09:11,1,0
2021/05/25 10:09:29,0,1
2021/05/25 10:09:56,0,1
2021/05/25 10:10:00,1,0
2021/05/25 10:10:10,1,0
2021/05/25 10:10:33,0,1
2021/05/25 10:10:36,0,1
2021/05/25 10:10:45,1,0
2021/05/25 10:11:04,0,1
2021/05/25 10:11:21,0,1
2021/05/25 10:11:25,1,0
2021/05/25 10:11:29,1,0
2021/05/25 10:11:42,0,1
2021/05/25 10:11:48,1,0
2021/05/25 10:12:02,0,1
2021/05/25 10:12:19,0,1
2021/05/25 10:12:21,1,0
2021/05/25 10:12:36,0,1
2021/05/25 10:12:38,1,0
2021/05/25 10:12:48,1,0
2021/05/25 10:13:06,0,1
2021/05/25 10:15:01,0,1
2021/05/25 10:15:12,1,0
2021/05/25 10:15:21,0,1
2021/05/25 10:15:35,1,0
2021/05/25 10:15:41,1,0
2021/05/25 10:16:08,0,1
2021/05/25 10:17:53,1,0
2021/05/25 10:19:43,0,1
2021/05/25 10:20:02,1,0
2021/05/25 10:20:16,0,1
2021/05/25 10:20:26,1,0
2021/05/25 10:20:48,0,1
2021/05/25 10:20:57,1,0
2021/05/25 10:21:00,1,0
2021/05/25 10:21:27,0,1
2021/05/25 10:21:43,0,1
2021/05/25 10:21:47,1,0
2021/05/25 10:21:54,0,1
2021/05/25 10:21:58,1,0
2021/05/25 10:23:47,1,0
2021/05/25 10:23:50,1,0
2021/05/25 10:23:53,1,0
2021/05/25 10:24:00,1,0
2021/05/25 10:24:09,0,1
2021/05/25 10:24:30,0,1
2021/05/25 10:24:41,0,1
2021/05/25 10:25:10,0,1
2021/05/25 10:25:17,0,1
2021/05/25 10:25:42,1,0
2021/05/25 10:25:51,0,1
2021/05/25 10:26:15,1,0
2021/05/25 10:26:35,0,1
2021/05/25 10:26:50,1,0
2021/05/25 10:27:06,0,1
2021/05/25 10:27:17,0,1
2021/05/25 10:27:22,0,1
2021/05/25 10:27:34,1,0
2021/05/25 10:29:17,1,0
2021/05/25 10:29:39,0,1
2021/05/25 10:29:46,1,0
2021/05/25 10:30:06,0,1
2021/05/25 10:30:38,0,1
2021/05/25 10:30:49,0,1
2021/05/25 10:30:54,0,1
2021/05/25 10:30:59,1,0
2021/05/25 10:31:22,0,1
2021/05/25 10:31:26,1,0
2021/05/25 10:31:33,0,1
2021/05/25 10:31:55,1,0
2021/05/25 10:32:08,1,0
2021/05/25 10:32:22,0,1
2021/05/25 10:32:36,0,1
2021/05/25 10:32:46,1,0
2021/05/25 10:33:12,0,1
2021/05/25 10:33:44,0,1
2021/05/25 10:33:54,0,1
2021/05/25 10:33:58,1,0
2021/05/25 10:34:14,0,1
2021/05/25 10:34:42,1,0
2021/05/25 10:35:21,0,1
2021/05/25 10:35:48,0,1
2021/05/25 10:36:04,0,1
2021/05/25 10:36:08,1,0
2021/05/25 10:36:17,0,1
2021/05/25 10:36:26,1,0
2021/05/25 10:36:40,1,0
2021/05/25 10:36:53,1,0
2021/05/25 10:36:58,1,0
2021/05/25 10:37:25,0,1
2021/05/25 10:37:38,1,0
2021/05/25 10:37:51,0,1
2021/05/25 10:38:06,0,1
2021/05/25 10:38:50,1,0
2021/05/25 10:39:21,0,1
2021/05/25 10:39:31,0,1
2021/05/25 10:40:09,0,1
2021/05/25 10:40:16,1,0
2021/05/25 10:40:24,1,0
2021/05/25 10:40:34,1,0
2021/05/25 10:41:56,1,0
2021/05/25 10:42:09,1,0
2021/05/25 10:42:28,0,1
2021/05/25 10:42:40,0,1
2021/05/25 10:42:59,0,1
2021/05/25 10:43:18,0,1
2021/05/25 10:43:24,1,0
2021/05/25 10:44:03,1,0
2021/05/25 10:44:11,1,0
2021/05/25 10:44:20,1,0
2021/05/25 10:44:24,1,0
2021/05/25 10:44:38,1,0
2021/05/25 10:44:51,0,1
2021/05/25 10:45:11,0,1
2021/05/25 10:45:14,1,0
2021/05/25 10:45:33,0,1
2021/05/25 10:46:19,0,1
2021/05/25 10:46:22,1,0
2021/05/25 10:46:34,1,0
2021/05/25 10:46:50,0,1
2021/05/25 10:47:00,1,0
2021/05/25 10:47:20,1,0
2021/05/25 10:47:39,0,1
2021/05/25 10:47:42,1,0
2021/05/25 10:48:04,0,1
2021/05/25 10:48:19,0,1
2021/05/25 10:48:36,0,1
2021/05/25 10:48:43,1,0
2021/05/25 10:48:54,0,1
2021/05/25 10:49:07,0,1
2021/05/25 10:49:16,0,1
2021/05/25 10:51:13,1,0
2021/05/25 10:51:23,0,1
2021/05/25 10:51:27,1,0
2021/05/25 10:53:13,1,0
2021/05/25 10:53:18,0,1
2021/05/25 10:53:39,0,1
2021/05/25 10:53:56,0,1
2021/05/25 10:54:11,1,0
2021/05/25 10:56:04,0,1
2021/05/25 10:56:21,0,1
2021/05/25 10:56:30,1,0
2021/05/25 10:56:49,1,0
2021/05/25 10:57:19,0,1
2021/05/25 10:57:23,0,1
2021/05/25 10:57:29,0,1
2021/05/25 10:57:38,0,1
2021/05/25 10:59:35,1,0
2021/05/25 11:00:10,0,1
2021/05/25 11:00:21,1,0
2021/05/25 11:00:30,0,1
2021/05/25 11:00:44,0,1
2021/05/25 11:01:03,0,1
2021/05/25 11:02:27,1,0
2021/05/25 11:02:38,0,1
2021/05/25 11:03:28,0,1
2021/05/25 11:03:36,1,0
2021/05/25 11:03:49,0,1
2021/05/25 11:04:00,1,0
2021/05/25 11:04:08,1,0
2021/05/25 11:04:32,0,1
2021/05/25 11:04:49,0,1
2021/05/25 11:05:00,0,1
2021/05/25 11:05:15,0,1
2021/05/25 11:05:22,1,0
2021/05/25 11:05:45,1,0
2021/05/25 11:05:56,1,0
2021/05/25 11:06:11,1,0
2021/05/25 11:06:15,1,0
2021/05/25 11:06:19,1,0
2021/05/25 11:06:42,0,1
2021/05/25 11:06:58,1,0
2021/05/25 11:07:12,1,0
2021/05/25 11:07:30,0,1
2021/05/25 11:07:49,0,1
2021/05/25 11:07:57,1,0
2021/05/25 11:08:46,1,0
2021/05/25 11:08:55,0,1
2021/05/25 11:09:12,0,1
2021/05/25 11:09:22,1,0
2021/05/25 11:09:30,1,0
2021/05/25 11:10:23,0,1
2021/05/25 11:10:27,1,0
2021/05/25 11:10:52,0,1
2021/05/25 11:11:00,1,0
2021/05/25 11:11:49,1,0
2021/05/25 11:12:04,0,1
2021/05/25 11:12:15,0,1
2021/05/25 11:12:43,1,0
2021/05/25 11:13:00,1,0
2021/05/25 11:13:12,1,0
2021/05/25 11:13:18,1,0
2021/05/25 11:13:44,0,1
2021/05/25 11:14:10,1,0
2021/05/25 11:14:20,1,0
2021/05/25 11:14:26,0,1
2021/05/25 11:14:38,0,1
2021/05/25 11:14:57,0,1
2021/05/25 11:15:05,1,0
2021/05/25 11:15:13,0,1
2021/05/25 11:15:22,1,0
2021/05/25 11:16:07,1,0
2021/05/25 11:16:17,1,0
2021/05/25 11:17:02,0,1
2021/05/25 11:17:08,0,1
2021/05/25 11:17:28,0,1
2021/05/25 11:17:35,1,0
2021/05/25 11:17:47,1,0
2021/05/25 11:17:54,1,0
2021/05/25 11:18:09,0,1
2021/05/25 11:18:21,0,1
2021/05/25 11:18:48,1,0
2021/05/25 11:18:52,0,1
2021/05/25 11:19:10,0,1
2021/05/25 11:19:18,0,1
2021/05/25 11:19:42,0,1
2021/05/25 11:20:02,0,1
2021/05/25 11:20:08,1,0
2021/05/25 11:20:21,1,0
2021/05/25 11:22:07,1,0
2021/05/25 11:22:13,0,1
2021/05/25 11:22:24,0,1
2021/05/25 11:22:31,1,0
2021/05/25 11:22:33,1,0
2021/05/25 11:22:42,0,1
2021/05/25 11:22:46,1,0
2021/05/25 11:22:50,1,0
2021/05/25 11:22:54,1,0
2021/05/25 11:23:20,0,1
2021/05/25 11:23:25,1,0
2021/05/25 11:23:42,0,1
2021/05/25 11:23:57,0,1
2021/05/25 11:24:23,1,0
2021/05/25 11:24:43,1,0
2021/05/25 11:24:57,1,0
2021/05/25 11:25:09,0,1
2021/05/25 11:25:15,1,0
2021/05/25 11:25:45,0,1
2021/05/25 11:25:47,1,0
2021/05/25 11:26:09,0,1
2021/05/25 11:26:36,0,1
2021/05/25 11:26:38,1,0
2021/05/25 11:26:59,1,0
2021/05/25 11:27:21,1,0
2021/05/25 11:27:41,0,1
2021/05/25 11:28:11,1,0
2021/05/25 11:28:27,0,1
2021/05/25 11:30:20,0,1
